                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4047,                 6.5508,                 4.2392,                 0.0002,                0.04354,                0.00013,                  4e-05,                 4.8727,                 8.0024,                 4.1194,             0.00036464,             0.00036464,             0.00036464
                      2,                 4.2557,                 5.8123,                  4.089,                0.00016,                 0.0531,                0.00017,                  5e-05,                 4.8269,                 5.6685,                 3.9832,             0.00072769,             0.00072769,             0.00072769
                      3,                 3.8004,                 5.3591,                 3.6871,                0.76082,                 0.1392,                0.14692,                0.06101,                 3.5305,                 4.1813,                 3.3067,              0.0010834,              0.0010834,              0.0010834
                      4,                 3.4173,                 4.6598,                 3.3431,                0.93882,                0.13451,                0.14299,                0.05557,                  3.217,                 3.8617,                 3.0084,               0.001078,               0.001078,               0.001078
                      5,                 3.2133,                 4.2685,                 3.0371,                0.52212,                0.15762,                0.11276,                0.04174,                 3.0653,                 5.2834,                 2.7257,               0.001078,               0.001078,               0.001078
                      6,                 3.1014,                 3.6609,                 2.8244,                0.16882,                0.15529,                0.15108,                0.05659,                 3.0222,                 3.8525,                 2.6721,               0.001067,               0.001067,               0.001067
                      7,                 2.9518,                 3.4505,                 2.6685,                0.97175,                 0.1528,                0.17031,                0.06269,                  3.116,                 3.4956,                 2.6738,               0.001056,               0.001056,               0.001056
                      8,                 2.8824,                 3.3056,                 2.5652,                0.96933,                0.15307,                0.17211,                0.06977,                 2.8587,                 3.1135,                  2.521,               0.001045,               0.001045,               0.001045
                      9,                 2.8156,                 3.1489,                 2.5347,                 0.6225,                0.19842,                0.20616,                0.08759,                 2.7613,                 3.1629,                 2.3982,               0.001034,               0.001034,               0.001034
                     10,                 2.7629,                 3.0073,                 2.4549,                0.43198,                0.19731,                0.20339,                0.08373,                 2.7794,                 2.6906,                 2.3736,               0.001023,               0.001023,               0.001023
                     11,                 2.7168,                 3.0566,                 2.4918,                0.64204,                0.17939,                0.20147,                0.07567,                  2.726,                 2.6002,                 2.3781,               0.001012,               0.001012,               0.001012
                     12,                 2.6449,                 2.8965,                 2.3975,                0.69149,                0.20172,                0.22715,                0.09404,                 2.5731,                 2.6126,                 2.2449,               0.001001,               0.001001,               0.001001
                     13,                 2.5996,                 2.8514,                 2.3717,                0.81734,                0.16351,                  0.195,                0.08111,                  2.803,                 3.0638,                 2.4148,             0.00099001,             0.00099001,             0.00099001
                     14,                 2.5532,                 2.8184,                 2.3439,                0.28643,                0.21456,                 0.2236,                0.09313,                 2.5676,                 2.6723,                 2.2716,             0.00097901,             0.00097901,             0.00097901
                     15,                 2.5354,                 2.8041,                 2.3214,                0.43348,                0.25535,                0.24892,                0.09993,                 2.5382,                  2.323,                 2.2285,             0.00096801,             0.00096801,             0.00096801
                     16,                 2.5068,                 2.6992,                 2.2963,                 0.6406,                0.20347,                0.23278,                0.09602,                 2.5715,                 2.5046,                 2.2242,             0.00095702,             0.00095702,             0.00095702
                     17,                 2.4976,                 2.6489,                 2.2414,                0.51975,                0.28244,                0.27437,                0.11697,                 2.4186,                 2.3436,                 2.1338,             0.00094602,             0.00094602,             0.00094602
                     18,                 2.4639,                 2.6131,                 2.2329,                0.39547,                0.28712,                0.27128,                0.11814,                 2.3641,                 2.2835,                 2.0891,             0.00093502,             0.00093502,             0.00093502
                     19,                 2.4588,                 2.5709,                 2.2213,                0.37886,                0.27696,                0.26916,                0.11605,                 2.4207,                 2.2625,                 2.1536,             0.00092402,             0.00092402,             0.00092402
                     20,                  2.417,                 2.5683,                 2.2572,                0.57696,                 0.3031,                0.28646,                0.12421,                 2.3493,                 2.2855,                 2.0904,             0.00091302,             0.00091302,             0.00091302
                     21,                 2.3804,                 2.5567,                 2.2059,                0.34151,                0.29283,                0.28456,                0.12011,                 2.3988,                 2.2457,                 2.1127,             0.00090202,             0.00090202,             0.00090202
                     22,                 2.3874,                 2.4804,                 2.1909,                0.35376,                 0.2721,                0.26594,                0.11115,                 2.4688,                  2.476,                 2.1498,             0.00089102,             0.00089102,             0.00089102
                     23,                 2.3697,                 2.4531,                 2.1336,                0.36271,                0.32172,                0.31268,                0.14062,                 2.2605,                  2.094,                 2.0261,             0.00088002,             0.00088002,             0.00088002
                     24,                 2.3198,                 2.3874,                 2.1314,                0.38029,                0.34168,                0.32086,                0.14556,                 2.3124,                  2.126,                 2.0587,             0.00086902,             0.00086902,             0.00086902
                     25,                 2.3029,                 2.3972,                 2.1551,                0.51662,                0.30522,                0.31105,                0.12887,                 2.4201,                  2.213,                 2.1252,             0.00085803,             0.00085803,             0.00085803
                     26,                 2.3142,                 2.4717,                 2.1527,                0.69596,                0.24781,                0.28577,                0.11955,                  2.353,                 2.3727,                 2.0866,             0.00084703,             0.00084703,             0.00084703
                     27,                 2.3006,                 2.4064,                 2.1429,                0.38033,                0.37349,                0.31809,                0.14686,                  2.188,                 2.1453,                 1.9899,             0.00083603,             0.00083603,             0.00083603
                     28,                 2.2554,                 2.3791,                 2.1171,                0.37525,                  0.354,                0.31741,                0.13989,                 2.2471,                  2.114,                 2.0103,             0.00082503,             0.00082503,             0.00082503
                     29,                 2.2542,                 2.3555,                 2.0873,                0.37027,                0.37752,                0.33214,                0.14578,                 2.2538,                 2.1271,                   1.99,             0.00081403,             0.00081403,             0.00081403
                     30,                 2.2935,                 2.2982,                 2.0921,                0.40646,                0.35248,                0.32541,                0.14776,                 2.2669,                 2.1533,                 2.0067,             0.00080303,             0.00080303,             0.00080303
                     31,                 2.2334,                 2.2947,                 2.0737,                0.44663,                0.29219,                0.31272,                0.14011,                 2.2887,                 2.0725,                 2.0219,             0.00079203,             0.00079203,             0.00079203
                     32,                 2.2422,                 2.2942,                 2.0743,                0.40217,                0.32224,                 0.3221,                0.14723,                 2.3068,                 2.1212,                 2.0301,             0.00078103,             0.00078103,             0.00078103
                     33,                 2.2047,                 2.3099,                 2.0395,                0.38703,                0.30392,                0.30785,                0.13725,                 2.2786,                 2.1835,                 2.0184,             0.00077003,             0.00077003,             0.00077003
                     34,                 2.1519,                 2.2192,                 2.0073,                0.41685,                0.37356,                0.34941,                0.15742,                 2.1868,                 1.9718,                 1.9466,             0.00075904,             0.00075904,             0.00075904
                     35,                  2.194,                 2.2458,                 2.0048,                0.41055,                0.36898,                0.34823,                0.15438,                 2.2033,                 2.0549,                 1.9465,             0.00074804,             0.00074804,             0.00074804
                     36,                 2.1712,                 2.2436,                  2.006,                0.42387,                0.39941,                0.37008,                  0.171,                  2.194,                 1.9531,                 1.9537,             0.00073704,             0.00073704,             0.00073704
                     37,                   2.13,                 2.1008,                 1.9951,                0.45474,                0.42353,                0.38944,                0.17558,                 2.1522,                 1.9132,                 1.9178,             0.00072604,             0.00072604,             0.00072604
                     38,                 2.1913,                 2.2058,                 2.0127,                0.37032,                0.43843,                0.37787,                 0.1684,                 2.1652,                 1.9342,                 1.9221,             0.00071504,             0.00071504,             0.00071504
                     39,                 2.1254,                 2.1452,                 1.9726,                0.42341,                0.38732,                 0.3677,                0.16639,                 2.2046,                 1.9874,                 1.9501,             0.00070404,             0.00070404,             0.00070404
                     40,                 2.1227,                   2.14,                 1.9866,                0.44744,                0.39519,                0.38622,                0.18043,                 2.0937,                 1.9993,                 1.8818,             0.00069304,             0.00069304,             0.00069304
                     41,                 2.1218,                 2.1785,                 1.9963,                0.44472,                0.44068,                0.40629,                0.18928,                 2.0846,                 1.9355,                 1.8716,             0.00068204,             0.00068204,             0.00068204
                     42,                 2.0815,                  2.138,                 1.9474,                0.44148,                0.41905,                0.40824,                0.19713,                 2.0478,                 1.8359,                 1.8352,             0.00067104,             0.00067104,             0.00067104
                     43,                 2.0861,                 2.1478,                 1.9898,                0.41786,                 0.4605,                0.42737,                0.20351,                  2.056,                 1.7656,                 1.8388,             0.00066005,             0.00066005,             0.00066005
                     44,                 2.0733,                 2.0974,                 1.9469,                0.47462,                0.42336,                0.41273,                0.18807,                 2.0266,                 1.8541,                 1.8299,             0.00064905,             0.00064905,             0.00064905
                     45,                  2.048,                 2.0555,                 1.9218,                0.45783,                 0.4521,                0.42199,                0.19939,                 2.0377,                 1.7913,                 1.8318,             0.00063805,             0.00063805,             0.00063805
                     46,                 2.0348,                 2.0364,                   1.89,                0.48838,                0.43508,                0.43234,                0.20057,                 2.0052,                 1.7366,                 1.7965,             0.00062705,             0.00062705,             0.00062705
                     47,                 2.0688,                 2.0442,                  1.948,                 0.5047,                 0.4285,                0.44384,                 0.2108,                 2.0298,                  1.856,                 1.8134,             0.00061605,             0.00061605,             0.00061605
                     48,                 2.0532,                 2.0604,                 1.9364,                0.48684,                0.45866,                0.46222,                0.21685,                 1.9783,                 1.7144,                 1.7784,             0.00060505,             0.00060505,             0.00060505
                     49,                 2.0323,                 1.9925,                 1.8754,                0.53348,                0.44406,                0.45082,                0.21715,                  1.972,                 1.6927,                 1.7809,             0.00059405,             0.00059405,             0.00059405
                     50,                 2.0192,                 2.0268,                 1.9069,                0.46663,                0.43421,                0.42018,                0.18888,                 2.1494,                 1.8748,                  1.867,             0.00058305,             0.00058305,             0.00058305
                     51,                 2.0191,                 1.9555,                 1.8819,                0.52926,                0.44893,                0.46901,                0.22689,                 2.0388,                  1.724,                 1.8168,             0.00057205,             0.00057205,             0.00057205
                     52,                 2.0141,                  1.988,                  1.891,                0.46076,                0.49678,                0.46087,                0.21899,                 2.0017,                 1.7184,                 1.7743,             0.00056105,             0.00056105,             0.00056105
                     53,                 2.0325,                 1.9956,                 1.8996,                0.48548,                0.48273,                0.46921,                0.22155,                 1.9789,                 1.7649,                 1.7863,             0.00055006,             0.00055006,             0.00055006
                     54,                  1.958,                 1.9364,                 1.8821,                0.50897,                0.49139,                0.48563,                0.23667,                 1.9493,                 1.6485,                 1.7531,             0.00053906,             0.00053906,             0.00053906
                     55,                 2.0258,                 1.9652,                 1.9356,                0.49063,                0.49302,                0.48061,                 0.2324,                 2.0247,                 1.6661,                 1.8117,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.9624,                 1.9488,                 1.8801,                0.52389,                0.45844,                0.47735,                0.22193,                 2.0255,                 1.8049,                 1.8146,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.9835,                 1.9242,                 1.8612,                0.52307,                0.45399,                 0.4229,                0.19846,                 2.2338,                 2.0556,                 1.9125,             0.00050606,             0.00050606,             0.00050606
                     58,                  1.941,                 1.9288,                 1.8621,                0.52291,                0.49186,                0.50098,                0.24743,                  1.919,                 1.6364,                 1.7234,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.9771,                 1.9613,                 1.8577,                0.48711,                0.53224,                0.50749,                0.25998,                 1.8576,                 1.6493,                 1.6941,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.9321,                 1.8872,                 1.8583,                 0.5102,                0.52629,                0.51078,                0.25671,                 1.8743,                 1.5923,                 1.7028,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.9049,                 1.8692,                 1.8074,                0.54212,                0.52546,                0.53721,                0.27394,                 1.8622,                 1.5658,                 1.6938,             0.00046206,             0.00046206,             0.00046206
                     62,                 1.9368,                 1.8953,                 1.8595,                0.57027,                0.50784,                0.53174,                0.26235,                 1.8793,                  1.583,                 1.6987,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.9378,                 1.8836,                   1.85,                0.50408,                0.45043,                0.43293,                0.20825,                 2.0775,                 1.9562,                 1.8243,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.9139,                 1.8486,                 1.8192,                 0.5121,                 0.5334,                0.53329,                0.26395,                 1.8696,                 1.6099,                 1.6998,             0.00042907,             0.00042907,             0.00042907
                     65,                 1.9182,                 1.8271,                 1.8235,                0.57228,                0.53809,                 0.5506,                 0.2753,                 1.8436,                  1.509,                 1.6886,             0.00041807,             0.00041807,             0.00041807
                     66,                 1.8567,                 1.8292,                 1.7384,                0.51527,                0.49692,                0.48073,                0.22134,                 2.1621,                 1.7149,                 1.8949,             0.00040707,             0.00040707,             0.00040707
                     67,                 1.8846,                  1.825,                 1.8017,                0.54946,                0.56477,                0.55277,                0.28001,                 1.8004,                 1.5544,                 1.6527,             0.00039607,             0.00039607,             0.00039607
                     68,                 1.9178,                 1.8477,                 1.8369,                0.57607,                0.52969,                0.55905,                0.28055,                 1.8707,                 1.5384,                 1.6955,             0.00038507,             0.00038507,             0.00038507
                     69,                 1.8823,                 1.8131,                 1.7792,                0.61528,                0.54944,                0.57798,                0.28907,                 1.8475,                 1.5007,                  1.675,             0.00037407,             0.00037407,             0.00037407
                     70,                 1.8802,                 1.8158,                 1.7914,                 0.5223,                0.56007,                0.53773,                0.26666,                 1.8369,                 1.5858,                 1.6559,             0.00036307,             0.00036307,             0.00036307
                     71,                 1.8823,                 1.8045,                 1.7971,                 0.5215,                0.50712,                0.51278,                0.24164,                 1.9804,                 1.6575,                 1.7657,             0.00035208,             0.00035208,             0.00035208
                     72,                 1.8808,                 1.8018,                 1.8044,                   0.58,                0.55635,                0.58359,                0.30505,                  1.789,                 1.4809,                 1.6463,             0.00034108,             0.00034108,             0.00034108
                     73,                 1.8568,                 1.7932,                  1.778,                0.58956,                 0.5384,                0.56546,                0.28626,                 1.8133,                 1.5175,                 1.6477,             0.00033008,             0.00033008,             0.00033008
                     74,                 1.8582,                 1.7334,                 1.7728,                0.61606,                0.58024,                0.60818,                0.30809,                 1.8212,                 1.4518,                 1.6505,             0.00031908,             0.00031908,             0.00031908
                     75,                 1.8589,                 1.7961,                 1.7861,                0.58141,                0.57692,                 0.5964,                0.30638,                 1.7755,                 1.4703,                 1.6265,             0.00030808,             0.00030808,             0.00030808
                     76,                 1.8372,                 1.7383,                  1.767,                0.62534,                0.59306,                0.62278,                0.31758,                 1.7701,                 1.4371,                 1.6161,             0.00029708,             0.00029708,             0.00029708
                     77,                 1.8403,                 1.7036,                 1.7674,                0.57371,                0.57751,                0.59025,                0.30389,                 1.7687,                 1.4894,                 1.6304,             0.00028608,             0.00028608,             0.00028608
                     78,                 1.8217,                 1.7441,                 1.7509,                0.61897,                0.58823,                0.61999,                 0.3279,                 1.7402,                 1.4094,                 1.6076,             0.00027508,             0.00027508,             0.00027508
                     79,                 1.8699,                 1.7252,                 1.7667,                0.63427,                0.57614,                0.60831,                0.32815,                 1.7717,                 1.4439,                   1.61,             0.00026408,             0.00026408,             0.00026408
                     80,                 1.8109,                 1.7517,                 1.7788,                0.63107,                0.59972,                0.63108,                0.32626,                 1.7779,                 1.4549,                 1.6175,             0.00025309,             0.00025309,             0.00025309
                     81,                 1.7796,                 1.6621,                 1.7208,                0.61321,                0.59152,                0.61751,                0.32543,                 1.7756,                 1.4171,                 1.6202,             0.00024209,             0.00024209,             0.00024209
                     82,                 1.8115,                 1.6813,                 1.7626,                0.58607,                0.60196,                0.62381,                0.33247,                 1.7477,                 1.3895,                 1.6111,             0.00023109,             0.00023109,             0.00023109
                     83,                 1.8228,                 1.7036,                   1.76,                 0.6576,                0.59506,                0.65641,                0.35251,                 1.7388,                 1.3798,                 1.6008,             0.00022009,             0.00022009,             0.00022009
                     84,                 1.7734,                 1.6649,                 1.7081,                0.63049,                0.61668,                0.62812,                0.33792,                 1.7565,                 1.4776,                 1.6076,             0.00020909,             0.00020909,             0.00020909
                     85,                 1.8324,                 1.6765,                  1.738,                0.63386,                0.59789,                0.63309,                 0.3206,                 1.8497,                 1.4141,                 1.6636,             0.00019809,             0.00019809,             0.00019809
                     86,                 1.7822,                 1.6259,                 1.7042,                0.63874,                 0.6196,                0.65769,                0.35679,                 1.7141,                 1.3392,                 1.5839,             0.00018709,             0.00018709,             0.00018709
                     87,                 1.7823,                 1.6874,                 1.7289,                0.68762,                0.61522,                0.66829,                0.35872,                 1.7033,                 1.3714,                 1.5762,             0.00017609,             0.00017609,             0.00017609
                     88,                 1.8407,                  1.724,                 1.7509,                0.64915,                0.64924,                0.65753,                 0.3579,                 1.7219,                 1.3457,                 1.5833,             0.00016509,             0.00016509,             0.00016509
                     89,                 1.8115,                 1.6562,                 1.7309,                0.62317,                0.63703,                0.65582,                 0.3576,                 1.6988,                 1.3461,                 1.5794,              0.0001541,              0.0001541,              0.0001541
                     90,                 1.7978,                 1.6284,                 1.7346,                0.65513,                0.62758,                0.67495,                0.37248,                 1.6736,                 1.3519,                 1.5606,              0.0001431,              0.0001431,              0.0001431
                     91,                 1.8046,                 1.6196,                 1.7179,                0.64028,                0.61762,                0.65814,                0.35116,                  1.688,                 1.3689,                 1.5734,              0.0001321,              0.0001321,              0.0001321
                     92,                 1.7789,                 1.6157,                   1.69,                0.69944,                0.62522,                0.69937,                 0.3884,                 1.6875,                  1.308,                 1.5591,              0.0001211,              0.0001211,              0.0001211
                     93,                 1.7481,                 1.6321,                 1.6996,                 0.6435,                0.63491,                0.68413,                0.37934,                 1.6647,                  1.306,                 1.5512,              0.0001101,              0.0001101,              0.0001101
                     94,                 1.7483,                 1.5659,                 1.6673,                0.66612,                0.66197,                0.70837,                0.39579,                  1.645,                 1.3082,                 1.5345,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                 1.7362,                 1.5279,                 1.6428,                0.67624,                0.67008,                0.70879,                0.39802,                 1.6377,                 1.2716,                 1.5321,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                 1.7291,                 1.5045,                 1.6504,                0.70574,                0.66375,                0.71597,                0.40615,                 1.6377,                 1.2584,                 1.5304,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                 1.7283,                 1.4966,                  1.664,                0.70002,                0.65906,                0.72622,                0.41529,                 1.6293,                 1.2512,                 1.5239,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                 1.7501,                 1.5262,                 1.6528,                0.72425,                0.66975,                0.73365,                0.41823,                 1.6184,                 1.2545,                 1.5203,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                  1.741,                 1.5357,                 1.6566,                0.71481,                0.66447,                0.73593,                0.42363,                 1.6103,                 1.2417,                 1.5187,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                 1.7252,                 1.4863,                 1.6342,                0.74434,                  0.659,                 0.7396,                0.42606,                 1.5995,                 1.2387,                 1.5107,             3.3108e-05,             3.3108e-05,             3.3108e-05
